DATE,DAY,GAME TIME,BYH TEAM,GAME LOCATION,EVENT TYPE,OPPONENT,NOTES,CONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/12,SATURDAY,8:45 AM,BANTAM UPPER A,REISTERSTOWN,NON LEAGUE,HOWARD,,9/10/12 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/12,SATURDAY,3:45 PM,PEE WEE LOWER A,PINEY ORCHARD,NON LEAGUE,METRO,,9/14/12 - NELSON BURTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/12,SATURDAY,11:05 AM,U18 LOWER A,LAUREL,NON LEAGUE,TRI-CITY,,9/10/12 - NEIL SCHUMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/12,SUNDAY,12:00 PM,SQUIRT UPPER A,REISTERSTOWN,NON LEAGUE,HERSHEY,,9/14 - FRANK NEMSHICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/12,SATURDAY,5:50 PM,PEE WEE B,COLUMBIA,NON LEAGUE,HOWARD,,9/17/15 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/12,SATURDAY,4:15 PM,SQUIRT B,COLUMBIA,NON LEAGUE,HOWARD,,9/17/15 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/12,SATURDAY,1:00 PM,SQUIRT UPPER A,GIANT CENTER,NON-LEAGUE,HERSHEY,,9/17/12 - FRANK NEMSHICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/12,SATURDAY,12:55 PM,BANTAM UPPER A,RESTON,NON-LEAGUE,RESTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/12,SUNDAY,10:15 AM,PEE WEE LOWER A,REISTERSTOWN,NON LEAGUE,HARFORD,PEE WEE UPPER A,9/17/12 - MIKE VAN DELOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/12,SUNDAY,12:00 PM,U18 LOWER A,REISTERSTOWN,NON LEAGUE,FREDERICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/29/12,SATURDAY,9:55 AM,PEE WEE LOWER A,NAVAL ACADEMY - MC MULLEN,LEAGUE,NAVY,NO U18,9/24/12 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/29/12,SATURDAY,12:40 PM,BANTAM UPPER A,LAUREL,NON-LEAGUE,TRI-CITY,NO U18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/12,SUNDAY,10:15 AM,SQUIRT B,REISTERSTOWN,NON-LEAGUE,NAVY,NO U18,9/24/12 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/12,SUNDAY,12:00 PM,PEE WEE LOWER A,REISTERSTOWN,NON-LEAGUE,HAGERSTOWN,NO U18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/12,SUNDAY,9:15 AM,PEE WEE B,TWIN PONDS WEST,NON-LEAGUE,CAPITAL CITY VIPERS,,9/26/12 - CATHY LEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/12,SATURDAY,9:55 AM,BANTAM UPPER A,NAVAL ACADEMY - MC MULLEN,LEAGUE,NAVY,NO SQUIRT B,10/1/12 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/12,SATURDAY,6:50 PM,,MT PLEASANT,,,NO SQUIRT B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/12,SATURDAY,8:15 PM,PEE WEE B,BOWIE,LEAGUE,BOWIE,NO SQUIRT B,10/1/12 - CHRIS HINKSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/12,SATURDAY,12:30 PM,SQUIRT UPPER A,PRINCE WILLIAM ICE CENTER ,LEAGUE,PRINCE WILLIAM,NO SQUIRT B,10/1/12 - BRUCE JOHNSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/12,SATURDAY,10:45 AM,RAPIDS U12,MT PLEASANT,PRACTICE,,NO SQUIRT B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/12,SATURDAY,5:10 PM,U18 LOWER A,MT PLEASANT,NON-LEAGUE,TRI-CITY,NO SQUIRT B,10/2/12 - NEIL SCHUMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/12,SATURDAY,6:55 PM,PEE WEE LOWER A,PINEY ORCHARD,NON-LEAGUE,METRO,,10/4/12 - NELSON BURTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/12,SUNDAY,9:45 AM,BANTAM UPPER A,REISTERSTOWN,LEAGUE,TRI-CITY,,10/2/12 - NEIL SCHUMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/12,SUNDAY,1:15 PM,PEE WEE B,REISTERSTOWN,LEAGUE,PRINCE WILLIAM,,10/1/12 -  BRUCE JOHNSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/12,SUNDAY,11:30 AM,PEE WEE LOWER A,REISTERSTOWN,LEAGUE,FREDERICK,,10/1/12 - KEN ELLIOTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/12,SUNDAY,10:45 AM,SQUIRT B,MT PLEASANT,LEAGUE,HARFORD,,10/1/12 - MIKE VANDELOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/12,SUNDAY,9:00 AM,,MT PLEASANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/12,SUNDAY,9:50 AM,U18 LOWER A,LAUREL,NON-LEAGUE,TRI-CITY,,10/2/12 - NEIL SCHUMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/12,SATURDAY,11:00 AM,SQUIRT B,REISTERSTOWN,LEAGUE,FREDERICK,NO U18 or RAPIDS U12,10/11/12 - KEN ELLIOTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/12,SATURDAY,2:55 PM,SQUIRT UPPER A,RESTON - NHL,LEAGUE,RESTON,NO U18 or RAPIDS U12,10/8/12 - TRACY COSKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/12,SATURDAY,10:45 AM,PEE WEE LOWER A,MT PLEASANT,LEAGUE,EASTON,NO U18 or RAPIDS U12,10/8/12 - KAREN WATERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/12,SATURDAY,5:10 PM,PEE WEE B,MT PLEASANT,LEAGUE,RESTON,NO U18 or RAPIDS U12,10/8/12 - TRACY COSKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/12,SATURDAY,6:50 PM,BANTAM UPPER A,MT PLEASANT,PRACTICE,,NO U18 or RAPIDS U12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,12:30 PM,PEE WEE B,SKATE FREDERICK,LEAGUE,FREDERICK,,10/11/12 - KEN ELLIOTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,10:00 AM,PEE WEE LOWER A,HAGERSTOWN,LEAGUE,HAGERSTOWN,,10/8/12 LAURA ELMOHANDES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,11:30 AM,RAPIDS U12,REISTERSTOWN,LEAGUE,NOVA 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,9:45 AM,SQUIRT B,REISTERSTOWN,LEAGUE,METRO,,10/8/12 - KRISTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,4:00 PM,U18 LOWER A,SKATE FREDERICK,LEAGUE,FREDERICK,,10/11/12 - KEN ELLIOTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,1:15 PM,BANTAM UPPER A,REISTERSTOWN,NON-LEAGUE,LANCASTER FIRE BIRDS,,10/8/12 - JEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,9:00 AM,,MT PLEASANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,10:45 AM,,MT PLEASANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,12:25 PM,SQUIRT UPPER A,NAVAL ACADEMY - MC MULLEN,LEAGUE,NAVY,,10/8/12 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/12,SATURDAY,11:00 AM,BANTAM UPPER A,REISTERSTOWN,LEAGUE,FREDERICK,,10/17/12 - KEN ELLIOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/12,SATURDAY,10:45 AM,PEE WEE B,MT PLEASANT,LEAGUE,BOWIE,,10/15/12 - CHRIS HINKSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/12,SATURDAY,5:40 PM,SQUIRT B,ROCKVILLE #2,LEAGUE,MONTGOMERY GOLD,,10/15/12 - BOB WEISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/12,SATURDAY,12:50 PM,U18 LOWER A,LAUREL,LEAGUE,TRI-CITY,,10/16/12 - JOE SCHWARTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/12,SATURDAY,5:10 PM,RAPIDS U12,MT PLEASANT,LEAGUE,NOVA 1,,10/15/12 - DAWN PAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/12,SATURDAY,6:50 PM,SQUIRT UPPER A,MT PLEASANT,NON-LEAGUE,TRI-CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/12,SATURDAY,9:30 AM,SQUIRT REC,ICE WORLD,NON-LEAGUE,HARFORD,,10/15/12 - MIKE VANDE LOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/12,SATURDAY,11:00 AM,PEE WEE REC WHITE,ICE WORLD,NON-LEAGUE,HARFORD,,10/15/12 - MIKE VANDE LOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/12,SATURDAY,12:30 PM,BANTAM REC,ICE WORLD,NON-LEAGUE,HARFORD,,10/15/12 - MIKE VANDE LOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/12,SUNDAY,2:55 PM,BANTAM UPPER A,CABIN JOHN,LEAGUE,MONTOMERY,,10/15/12 - BOB WEISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/12,SUNDAY,9:45 AM,PEE WEE B,REISTERSTOWN,LEAGUE,HOWARD,,10/15/12 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/12,SUNDAY,9:15 AM,PEE WEE LOWER A,MT VERNON,LEAGUE,NOVA,,10/15/12 - DAWN PAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/12,SUNDAY,11:30 AM,SQUIRT UPPER A,REISTERSTOWN,LEAGUE,ASHBURN,,10/15/12 - MIKE LESLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/12,SUNDAY,1:15 PM,,REISTERSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/12,SUNDAY,9:00 AM,SQUIRT B,MT PLEASANT,NON-LEAGUE,YORK,,10/15/12 - WAYNE WINEMILLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/12,SUNDAY,10:45 AM,U18 LOWER A,MT PLEASANT,NON-LEAGUE,HOWARD U16AA,,10/15/12 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/12,SATURDAY,5:10 PM,U18 LOWER A,MT PLEASANT,LEAGUE ,RICHMOND,,10/22/12 - MIKE LYONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/12,SATURDAY,11:00 AM,PEE WEE REC BLACK/RAPIDS U12,REISTERSTOWN,PRACTICE,PRACTICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/12,SATURDAY,10:45 AM,MIDGET REC WHITE,MT PLEASANT,LEAGUE,SOUTHERN MARYLAND,,10/22/12 - CHRIS KENNEDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/12,SATURDAY,6:50 PM,BANTAM UPPER A,MT PLEASANT,PRACTICE,PRACTICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/12,SATURDAY,6:15 PM,BANTAM REC,CAPITOL CLUB HOUSE,LEAGUE,SOUTHERN MARYLAND RED,,10/22/12 - CHRIS KENNEDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/12,SUNDAY,1:15 PM,SQUIRT B,REISTERSTOWN,LEAGUE,RESTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/12,SUNDAY,9:45 AM,,REISTERSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/12,SUNDAY,11:30 AM,,REISTERSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/12,SUNDAY,9:00 AM,,MT PLEASANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/12,SUNDAY,10:45 AM,MIDGET REC BLACK,MT PLEASANT,NON-LEAGUE,YORK WHITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/12,SUNDAY,8:00 AM,RAPIDS U12,LAUREL - LOGSDON,LEAGUE,NOVA 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/12,SUNDAY,1:00 PM,SQUIRT REC,CAPITOL CLUB HOUSE,LEAGUE,SOUTHERN MARYLAND RED,,10/22/12 - CHRIS KENNEDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/12,SATURDAY,8:50 PM,BANTAM UPPER A,ASHBURN,LEAGUE,ASHBURN,NO RAPIDS U12,10/30/12 - MIKE LESLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/12,SATURDAY,8:30 AM,SQUIRT REC,NAVAL ACADEMY - MC MULLEN,LEAGUE,NAVY,NO RAPIDS U12,10/29/12 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/12,SATURDAY,3:15 PM,SQUIRT UPPER A,MT VERNON,LEAGUE,NOVA,NO RAPIDS U12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/12,SATURDAY,6:45 PM,U18 LOWER A,PINEY ORCHARD,LEAGUE,METRO,NO RAPIDS U12,10/29/12 - KRISTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/12,SATURDAY,11:00 AM,PEE WEE REC WHITE,REISTERSTOWN,LEAGUE,HOWARD GREY,NO RAPIDS U12,10/28/12 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/12,SATURDAY,10:45 AM,PEE WEE REC BLACK,MT PLEASANT,LEAGUE,HOWARD WHITE,NO RAPIDS U12,10/28/12 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/12,SATURDAY,5:10 PM,TRY HOCKEY FREE,MT PLEASANT,,,NO RAPIDS U12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/12,SATURDAY,6:50 PM,MIDGET REC BLACK,MT PLEASANT,NON-LEAGUE,MIDGET REC WHITE,NO RAPIDS U12,10/30/12 - ANDY GREY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/12,SUNDAY,10:45 AM,PEE WEE B,MT PLEASANT,LEAGUE,RESTON,NO RAPIDS U12,10/30/12 - TRACK COSKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/12,SUNDAY,11:30 AM,PEE WEE LOWER A,REISTERSTOWN,LEAGUE,EASTON,NO RAPIDS U12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/12,SUNDAY,9:45 AM,BANTAM REC,REISTERSTOWN,LEAGUE,NOVA 1,NO RAPIDS U12,10/29/12 - BILL GERKE,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/12,SUNDAY,1:15 PM,MIDGET REC WHITE,REISTERSTOWN,LEAGUE,NOVA 1,NO RAPIDS U12,10/29/12 - BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/12,SUNDAY,8:00 AM,,PATTERSON PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/12,SUNDAY,9:00 AM,RAPIDS U12,MT PLEASANT,PRACTICE,,NO RAPIDS U12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/12,SUNDAY,12:05 PM,SQUIRT B,ROCKVILLE 1,NON LEAGUE,MONTGOMERY GOLD,NO RAPIDS U12,10/28/12 - BOB WEISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/12,SUNDAY,5:30 PM,MIDGET REC BLACK,BOWIE,LEAGUE,BOWIE GOLD,,10/30 /12 - CHRIS HINKSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/12,SATURDAY,11:00 AM,SQUIRT UPPER A,REISTERSTOWN,LEAGUE,FREDERICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/12,SATURDAY,2:30 PM,U18 LOWER A,MSA (MAIN STREET ARENA),LEAGUE,BLUE RIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/12,SATURDAY,10:45 AM,BANTAM UPPER A,MT PLEASANT,NON-LEAGUE,TRI-CITY,,11/5/12 - JOE SCHWARTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/12,SATURDAY,5:10 PM,PEE WEE REC BLACK,MT PLEASANT,LEAGUE,SOUTHERN MARYLAND,,11/5/12 - CHRIS KENNEDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/12,SATURDAY,6:50 PM,BANTAM REC,MT PLEASANT,LEAGUE,WELLS,,11/7/12 - JOE HAMPTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/12,SATURDAY,4:00 PM,SQUIRT REC,LAUREL,LEAUGE ,HOWARD BLACK,,11/5/12 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/12,SATURDAY,2:15 PM,MIDGET REC WHITE,PINEY ORCHARD,LEAGUE,METRO,,11/5/12 - KRISTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/12,SUNDAY,1:15 PM,BANTAM UPPER A,REISTERSTOWN,LEAGUE,EASTON,,11/8/12- KAREN WATERS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/12,SUNDAY,11:30 AM,PEE WEE B,REISTERSTOWN,LEAGUE,FREDERICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/12,SUNDAY,8:10 AM,PEE WEE LOWER A,BOWIE,LEAGUE,BOWIE,,11/5/12 - CHRIS HINKSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/12,SUNDAY,10:45 AM,RAPIDS U12,MT PLEASANT,NON-LEAGUE,CHEVY CHASE,,11/7/12 - LINDSAY CEPHAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/12,SUNDAY,10:00 AM,U18 LOWER A,MSA (MAIN STREET ARENA),NON-LEAGUE,BLUE RIDGE,CALL ZACH TO SEE IF THEY WANT TO KEEP THIS GAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/12,SUNDAY,9:45 AM,PEE WEE REC WHITE,REISTERSTOWN,LEAGUE,NOVA 2,,11/5/12 - BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/12,SUNDAY,9:00 AM,MIDGET REC WHITE,MT PLEASANT,LEAGUE,WELLS,,11/7/12 - JOE HAMPTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/12,SUNDAY,8:00 AM,,PATTERSON PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/12,SUNDAY,4:00 PM,MIDGET REC BLACK,FORT DUPONT,NON-LEAGUE,NOVA 2,,11/5/12 - BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/12,SATURDAY,10:45 AM,SQUIRT B,MT PLEASANT,NON-LEAGUE,NAVY,,11/11/12 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/12,SATURDAY,4:15 PM,PEE WEE B,COLUMBIA,LEAGUE,HOWARD,,11/11/12 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/12,SATURDAY,5:10 PM,SQUIRT UPPER A,MT PLEASANT,LEAGUE,HAGERSTOWN,,11/12/12 - LAURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/12,SATURDAY,11:00 AM,U18 LOWER A,REISTERSTOWN,LEAGUE,FREDERICK,,11/13/12 - KEN ELLIOTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/12,SATURDAY,6:50 PM,RAPIDS U12,MT PLEASANT,NON-LEAGUE,PRINCE WILLIAM SQUIRT SELECT,,11/14/12 - BRUCE JOHNSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/12,SATURDAY,11:00 AM,SQUIRT REC,LAUREL,LEAGUE,TRI-CITY FALCONS 2,,11/12/12 - TOM HENDRIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/12,SUNDAY,11:30 AM,BANTAM UPPER A,REISTERSTOWN,LEAGUE,HOWARD,,11/11/12 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/12,SUNDAY,9:00 AM,SQUIRT REC,MT PLEASANT,LEAGUE,NOVA 3,,11/12/12 - BLL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/12,SUNDAY,12:00 PM,PEE WEE B,ICE WORLD,LEAGUE,HARFORD,,11/11/12 - MIKE VANDELOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/12,SUNDAY,11:30 AM,PEE WEE LOWER A,HAGERSTOWN,LEAGUE,HAGERSTOWN,,11/12/12 - LAURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/12,SUNDAY,9:30 AM,SQUIRT B,PINEY ORCHARD,LEAGUE,METRO,,11/12/12 - KRISTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/12,SUNDAY,9:45 AM,SQUIRT UPPER A,REISTERSTOWN,LEAGUE,MONTGOMERY BLUE,,11/11/12 - BOB WEISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/12,SUNDAY,1:15 PM,PEE WEE REC BLACK,REISTERSTOWN,LEAGUE,NOVA 1,,11/12/12 - BLL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/12,SUNDAY,10:45 AM,MIDGET REC BLACK,MT PLEASANT,LEAGUE,HOWARD WHITE,,11/11/12 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
