DATE,DAY,GAME TIME,BYH TEAM,GAME LOCATION,EVENT TYPE,OPPONENT,NOTES,CONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/13,SUNDAY,9:00 AM,U18 LOWER A,MT PLEASANT,LEAGUE,HAMPTON ROADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/13,SUNDAY,8:00 AM,PEE WEE B,PATTERSON PARK,NON-LEAGUE,DELAWARE DUCKS,,1/7/13 - DELAWARE WEB PAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/13,SUNDAY,9:15 AM,SQUIRT REC,MT VERNON,LEAGUE,NOVA 1,,1/8/13 - BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/13,WEDNESDAY,7:40 PM,BANTAM UPPER A,ASHBURN,LEAGUE,ASHBURN,,1/9/13 - MIKE LESLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,10:45 AM,BANTAM UPPER A,MT PLEASANT,NON-LEAGUE,CHESTER COUNTY,,1/14 - TOM NORTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,12:30 PM,PEE WEE B,PRINCE WILLIAM ICE CENTER ,LEAGUE,PRINCE WILLIAM,,1/14 - BRUCE JOHNSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,5:10 PM,U18 LOWER A,MT PLEASANT,LEAGUE,BLUE RIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,11:00 AM,RAPIDS U12,REISTERSTOWN,NON-LEAGUE,HERSHEY U12,,1/14 - HERSHEY WEBSITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,6:50 PM,BANTAM REC,MT PLEASANT,NON-LEAGUE,HARFORD,,1/14 - MIKE VAN DELOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,4:15 PM,PEE WEE REC BLACK,MT VERNON,LEAGUE,NOVA 3,,1/15 BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,5:40 PM,MIDGET REC WHITE,COLUMBIA,LEAGUE,HOWARD WHITE,,1/15 BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,4:30 PM,MIDGET REC BLACK,LANCASTER ICE RINK,NON-LEAGUE,LANCASTER FIRE BIRDS,,1/14 - LANCASTER WEBSITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,4:10 PM,PEE WEE LOWER A,RESTON ,NON-LEAGUE,RESTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,1:15 PM,BANTAM UPPER A,REISTERSTOWN,LEAGUE,MONTGOMERY,,1/15 BOB WEISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,3:10 PM,PEE WEE LOWER A,NAVAL ACADEMY - MC MULLEN,LEAGUE,NAVY,,1/15 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,8:00 AM,RAPIDS U12,LAUREL - LOGSDON,LEAGUE,NOVA 2,,1/14 - DAWN PAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,10:30 AM,SQUIRT B,ICE WORLD,LEAGUE,HARFORD,,1/14 - MIKE VAN DELOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,10:45 AM,U18 LOWER A,MT PLEASANT,LEAGUE,BLUE RIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,9:45 AM,MIDGET REC WHITE,REISTERSTOWN,LEAGUE,MIDGET REC BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,11:30 AM,PEE WEE B,REISTERSTOWN,NON-LEAGUE,YORK,,1/14 - YORK WEBSITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,9:00 AM,SQUIRT REC,MT PLEASANT,LEAGUE,TRI-CITY FALCONS 2,,1/15 - NIKKI GOLDSCHMIDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,8:00 AM,,PATTERSON PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,10:45 AM,BANTAM REC,MT VERNON,LEAGUE,NOVA 2,,1/15 BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,11:30 AM,SQUIRT UPPER A,HAGERSTOWN,LEAGUE,HAGERSTOWN,,1/14 - LAURA ELMOHANDES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,10:50 AM,PEE WEE REC BLACK,BOWIE,LEAGUE,BOWIE,,1/15 - CHRIS HINKSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,12:30 PM,PEE WEE REC WHITE,PINEY ORCHARD,LEAGUE,METRO,,1/16 - KRISTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/13,SATURDAY,11:00 AM,PEE WEE LOWER A,REISTERSTOWN,LEAGUE,HAGERSTOWN,,1/21 - LAURA ELMOHANDES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/13,SATURDAY,10:45 AM,RAPIDS U12,MT PLEASANT,NON-LEAGUE,FREDERICK U14 SILVER,,1/22 - KEN ELLIOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/13,SATURDAY,5:10 PM,SQUIRT UPPER A,MT PLEASANT,LEAGUE,PRINCE WILLIAM,,1/21 - BRUCE JOHNSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/13,SATURDAY,4:20 PM,U18 LOWER A,CHILLED PONDS,LEAGUE,HAMPTON ROADS,,1/21 - LISA ALVARADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/13,SATURDAY,6:50 PM,PEE WEE REC BLACK,MT PLEASANT,LEAGUE,NAVY GOLD,,1/21 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/13,SATURDAY,9:00 AM,MITE CROSS ICE,LAUREL ICE GARDEN MINI RINK,NON-LEAGUE,MITE B JAMBOREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/13,SATURDAY,10:45 AM,MITE CROSS ICE,LAUREL ICE GARDEN MINI RINK,NON-LEAGUE,MITE B JAMBOREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/13,SATURDAY,7:20 AM,MITE TRAVEL,NAVAL ACADEMY - MC MULLEN,NON-LEAGUE,NAVY,,1/21 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/13,SUNDAY,9:00 AM,SQUIRT B,MT PLEASANT,,PRACTICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/13,SUNDAY,9:45 AM,PEE WEE LOWER A,REISTERSTOWN,LEAGUE,BOWIE,,1/21 - CHRIS HINKSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/13,SUNDAY,10:45 AM,RAPIDS U12,MT PLEASANT,LEAGUE,CHEVY CHASE,,1/22 - LINDSAY CEPHAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/13,SUNDAY,11:30 AM,BANTAM REC,REISTERSTOWN,LEAGUE,METRO,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/13,SUNDAY,1:15 PM,SQUIRT REC,REISTERSTOWN,LEAGUE,TRI-CITY FALCONS 1,,1/21 - NIKKI GOLDSCHMIDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/13,SUNDAY,8:00 AM,MITE TRAVEL,PATTERSON PARK,NON-LEAGUE,CHEVY CHASE,,1/22 - LINDSAY CEPHAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/13,SUNDAY,1:00 PM,MIDGET REC WHITE,FORT DUPONT,NON-LEAGUE,NOVA 1,,1/22 - BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/13,SUNDAY,11:00 AM,SQUIRT UPPER A,HAYMARKET ICE PLEX,NON-LEAGUE,PIEDMONT PREDATORS,,1/22 - CHRIS WISEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/13,SUNDAY,2:00 PM,PEE WEE B,HAYMARKET ICE PLEX,NON-LEAGUE,PIEDMONT PREDATORS,,1/22 - CHRIS WISEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/13,SATURDAY,11:25 AM,BANTAM UPPER A,RESTON - OLYMPIC,LEAGUE,RESTON,,1/30 - TRACY COSKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/13,SATURDAY,1:00 PM,PEE WEE B,SKATE FREDERICK,LEAGUE,FREDERICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/13,SATURDAY,10:45 AM,PEE WEE REC WHITE,MT PLEASANT,LEAGUE,NAVY BLUE,,1/28 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/13,SATURDAY,11:00 AM,SQUIRT REC,REISTERSTOWN,LEAGUE,HOWARD BLACK,,1/29 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/13,SATURDAY,5:10 PM,MIDGET REC BLACK,MT PLEASANT,NON-LEAGUE,NOVA 1,,1/29 - BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/13,SATURDAY,12:30 PM,PEE WEE REC BLACK,ICE WORLD,NON-LEAGUE,HARFORD,,1/28 - MIKE VAN DELOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/13,SATURDAY,6:50 PM,SQUIRT UPPER A,MT PLEASANT,NON-LEAGUE,HOWARD AA,,1/29 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/13,SATURDAY,2:15 PM,U18 LOWER A,ICE WORLD,LEAGUE,METRO,,1/28 - KRISTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/13,SATURDAY,9:00 AM,MITE CROSS ICE,LAUREL - MINI RINK,NON-LEAGUE,JAMBOREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/13,SUNDAY,8:45 AM,BANTAM UPPER A,ICE WORLD,LEAGUE,HAMPTON ROADS,,1/30 - LISA ALVARADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/13,SUNDAY,12:20 PM,BANTAM UPPER A,LAUREL,LEAGUE,HOWARD,,1/29 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/13,SUNDAY,1:15 PM,PEE WEE LOWER A,REISTERSTOWN,LEAGUE ,MONTGOMERY,,1/28 - BOB WEISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/13,SUNDAY,11:30 AM,SQUIRT B,REISTERSTOWN,LEAGUE,MONTGOMERY GOLD,,1/28 - BOB WEISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/13,SUNDAY,9:45 AM,SQUIRT UPPER A,REISTERSTOWN,LEAGUE,MONTGOMERY GOLD,,1/28 - BOB WEISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/13,SUNDAY,9:00 AM,PEE WEE REC WHITE,MT PLEASANT,NON-LEAGUE,HARFORD,,1/28 - MIKE VAN DELOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/13,SUNDAY,10:45 AM,PEE WEE B,MT PLEASANT,NON-LEAGUE,CAPITAL CITY VIPERS,,1/28 - CAPITOL CITY WEBPAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/13,SUNDAY,8:00 AM,MITE TRAVEL,PATTERSON PARK,NON-LEAGUE,TRI-CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/13,SUNDAY,9:15 AM,PEE WEE REC BLACK,MT VERNON,LEAGUE ,NOVA 1,,1/29 - BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/13,SATURDAY,10:45 AM,BANTAM UPPER A,MT PLEASANT,LEAGUE,NOVA,,5-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/13,SATURDAY,5:30 PM,PEE WEE B,LAUREL,LEAGUE,HOWARD,,2/4 BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/13,SATURDAY,5:10 PM,BANTAM REC,MT PLEASANT,NON-LEAGUE,NOVA 2,,2/4 BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/13,SATURDAY,11:00 AM,SQUIRT B,REISTERSTOWN,LEAGUE,HOWARD,,2/4 BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/13,SATURDAY,6:50 PM,SQUIRT UPPER A,MT PLEASANT,PRACTICE,PRACTICE,,2/5 DAWN PAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/13,SATURDAY,4:30 PM,PEE WEE REC BLACK,CAPITOL CLUB HOUSE,LEAGUE,SOUTHERN MARYLAND,,2/5 CHRIS KENNEDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/13,SATURDAY,12:00 PM,MIDGET REC WHITE,YORK,NON-LEAGUE,YORK WHITE,,2/7 NICHOLE BAIBOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/13,SUNDAY,9:00 AM,PEE WEE B,MT PLEASANT,LEAGUE,HARFORD,,2/4 - MIKE VAN DELOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/13,SUNDAY,2:10 PM,PEE WEE LOWER A,LAUREL - PATRICK,LEAGUE, MONGTOMERY,,2/4 - BOB WEISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/13,SUNDAY,10:45 AM,RAPIDS U12,MT PLEASANT,LEAGUE,MONTGOMERY,,2/4 - BOB WEISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/13,SUNDAY,9:45 AM,PEE WEE REC BLACK,REISTERSTOWN,LEAGUE,BOWIE,,2/4 - CHRIS HINKSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/13,SUNDAY,8:00 AM,SQUIRT B,PATTERSON PARK,LEAGUE,EASTON,,2/5 - KAREN WATERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/13,SUNDAY,11:00 AM,BANTAM UPPER A,HAYMARKET ICE PLEX,NON-LEAGUE,PIEDMONT PREDATORS,,2/4 - PIEDMONT WEBSITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/13,SATURDAY,5:10 PM,MIDGET REC WHITE,MT PLEASANT,NON-LEAGUE,NOVA 2,,2/12 - BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/13,SATURDAY,11:00 AM,,REISTERSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/13,SATURDAY,10:45 AM,,MT PLEASANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/13,SATURDAY,6:50 PM,,MT PLEASANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/13,SATURDAY,4:10 PM,U18 LOWER A,RICHMOND,LEAGUE,RICHMOND,,2/11 - MIKE LYONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/13,SATURDAY,1:30 PM,PEE WEE REC WHITE,LAUREL,LEAUGE,HOWARD GREY,,2/13 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/13,SATURDAY,3:00 PM,PEE WEE REC BLACK,LAUREL,LEAGUE,HOWARD WHITE,,2/13 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/13,SATURDAY,4:15 PM,BANTAM REC,COLUMBIA,LEAUGE,HOWARD,,2/13 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/13,SATURDAY,5:40 PM,MIDGET REC BLACK,COLUMBIA,LEAGUE,HOWARD GREY,,2/13 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/13,SATURDAY,6:30 PM,MITE TRAVEL; MITE CROSS (2),LAUREL - OLYMPIC,NON-LEAGUE,TRI CITY,,2/13 - MIKE PACYLOWSKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/13,SUNDAY,9:45 AM,MITE TRAVEL,REISTERSTOWN,NON-LEAGUE,BOWIE,,2/11 - CHRIS HINKSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/13,SUNDAY,8:00 AM,,REISTERSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/13,SUNDAY,9:00 AM,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/13,SUNDAY,10:45 AM,,MT PLEASANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/13,SUNDAY,8:00 AM,,PATTERSON PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/13,SUNDAY,9:50 AM,U18 LOWER A,RICHMOND,LEAUGE ,RICHMOND,,2/11 - MIKE LYONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/13,SUNDAY,10:00 AM,SQUIRT REC,FORT DUPONT,LEAGUE,NOVA 3,,2/12 - BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/13,SUNDAY,10:45 AM,BANTAM REC,MT VERNON,NON-LEAGUE,NOVA 1,,2/12 - BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/13,SUNDAY,1:00 PM,MIDGET REC BLACK,FORT DUPONT,LEAGUE,NOVA 1,,2/12 - BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/13,SUNDAY,,MITE CROSS ICE,NAVAL ACADEMY - MC MULLEN,,JAMBOREE,,2/12 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/13,SATURDAY,6:15 PM,BANTAM UPPER A,TALBOT COMMUNITY CENTER,LEAGUE,EASTON,,2/20 - KAREN WATERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/13,SATURDAY,3:00 PM,PEE WEE B,CHILLED PONDS,NON-LEAGUE,HAMPTON ROADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/13,SATURDAY,,MITE CROSS ICE,LAUREL ,NON-LEAGUE,JAMBOREE - B LEVEL,,CANCELLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/13,SATURDAY,10:45 AM,PEE WEE LOWER A,MT PLEASANT,LEAGUE/NON LEAGUE,NAVY,,2/18 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/13,SATURDAY,11:00 AM,SQUIRT UPPER A,REISTERSTOWN,LEAGUE,NOVA,,2/18 - DAWN PAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/13,SATURDAY,5:10 PM,SQUIRT B,MT PLEASANT,NON-LEAGUE,NOVA,,2/18 - DAWN PAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/13,SATURDAY,6:50 PM,MITE TRAVEL,MT PLEASANT,NON-LEAGUE,CHEVY CHASE,,CANCELLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/13,SUNDAY,7:00 AM,PEE WEE B,CHILLED PONDS,LEAGUE,HAMPTON ROADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/13,SUNDAY,11:30 AM,PEE WEE LOWER A,REISTERSTOWN,LEAGUE,NOVA,,2/18 - DAWN PAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/13,SUNDAY,10:20 AM,SQUIRT UPPER A,ROCKVILLE #2,LEAGUE,MONTGOMERY GOLD,,2/12 BOB WEISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/13,SUNDAY,8:15 AM,SQUIRT B,COLUMBIA,NON-LEAGUE,HOWARD BLACK,,2/20 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/13,SUNDAY,9:30 AM,BANTAM UPPER A,CHESTER COUNTY ,NON-LEAGUE,CHESTER COUNTY,,2/18 - TOM NORTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/13,SUNDAY,9:45 AM,,REISTERSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/13,SUNDAY,1:15 PM,PEE WEE REC WHITE,REISTERSTOWN,LEAGUE,TRI-CITY FALCONS,,2/20 - NIKKI GOLDSCHMIDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/13,SUNDAY,9:00 AM,MITE TRAVEL,MT PLEASANT,NON-LEAGUE,HARFORD,,2/18 - MIKE VAN DELOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/13,SUNDAY,10:45 AM,U18 LOWER A,MT PLEASANT,PRACTICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
